Gender,Are you confident in your chosen career path?,What factors affect your career decision-making process?,How_did you_choose_your_career_path? ,Have you sought advice from a career counselor or career advisor?,Did you face pressure in choosing a career path?,Do you think your current career choice aligns with your skills and strengths?,Have you ever thought that the path you have chosen is not suitable for you? You could have done better if you had chosen another path.,"If you realize that your initially chosen career path is not suitable for you, are you confident in shifting to a different career path?",Do you believe that choosing the wrong career path can lead to academic failure?,Do you think schools/colleges should offer career counseling and guidance programs?,"In your opinion, what can educational institutions do to help students choose their career paths more effectively? (Open-ended)"
Male,Yes,Passion for a specific field,Based on personal interests and passion,No,Yes,Yes,Yes,No,Yes,Yes,
Male,Yes,Job market trends,Talked to friends/family,No,No,Yes,No,No,Yes,Yes,
Male,No,Passion for a specific field,Based on financial stability,No,Yes,No,Yes,Yes,Yes,Yes,
Female,Yes,Passion for a specific field,Talked to friends/family,No,No,No,Yes,No,Yes,Yes,
Male,Yes,Financial stability,Based on financial stability,No,Yes,No,Yes,Yes,No,Yes,
Male,Yes,Job market trends,Talked to friends/family,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Should have proper career counseling 
Male,Yes,Passion for a specific field,Based on personal interests and passion,No,Yes,Yes,Yes,No,Yes,No,They open business not a training institute. 
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,Yes,No,No,No,Yes,
Female,Yes,Financial stability,Based on personal interests and passion,No,Yes,Yes,No,No,Yes,Yes,
Female,Yes,Passion for a specific field,Based on personal interests and passion,No,No,Yes,No,No,Yes,Yes,Better career counseling and enhancing skills 
Male,Yes,Financial stability,Talked to friends/family,No,No,Yes,No,No,Yes,Yes,How to use the right skills to earn a living.
Male,Yes,Job market trends,Based on personal interests and passion,No,No,Yes,No,No,Yes,Yes,"The Career Counseling Desk may not be the most effective method for guiding new students. Instead, I believe it would be more beneficial to employ multimedia support to present a comprehensive overview of various fields and their practical applications in the job market. Utilizing visual aids, we can demonstrate the professions associated with each study field, providing students with a clearer understanding of the career paths related to their chosen areas of study."
Male,Yes,Passion for a specific field,Considering my educational background and qualifications,No,Yes,Yes,No,No,Yes,Yes,Educational institutes nees to provide career counseling to students because they don't know the scope of a specific field or they don't have enough knowledge about choosing the right career for them. 
Female,Yes,Passion for a specific field,Talked to friends/family,No,No,No,Yes,Yes,Yes,Yes,They should arrange career counselling sessions more often 
Female,Yes,Financial stability,Based on financial stability,No,Yes,No,No,No,Yes,Yes,Conducting seminars 
Male,Yes,Parental expectations,Based on personal interests and passion,No,Yes,No,Yes,Yes,No,No,The source completely this solve student problem and effort this every student 
Male,Yes,Passion for a specific field,Based on personal interests and passion,Yes,No,Yes,No,Yes,Yes,No,"Educational institutions can help students choose their career paths by providing more career exploration opportunities, offering career counseling services, incorporating career development into the curriculum, and making career information more accessible. They can also encourage students to take a variety of courses, provide opportunities for students to gain hands-on experience, connect students with mentors, and help students develop their soft skills"
Male,Yes,Passion for a specific field,Based on personal interests and passion,No,No,Yes,No,No,Yes,Yes,Yes
Male,Yes,Financial stability,Based on financial stability,No,Yes,Yes,No,No,Yes,Yes,
